!!!	actors.mobs.goo.!!!	%21%21%21
#$%^	actors.mobs.mob.rage	%23%24%25%5E
%arg% burns up!	actors.buffs.burning.burnsup	%25s%20burns%20up%21
%arg% hit combo!	actors.buffs.combo.combo	%25d%20hit%20combo%21
%arg% killed you...	actors.char.kill	%25s%20killed%20you...
%arg% of affection	items.armor.glyphs.affection.name	%25s%20of%20affection
%arg% of anti-entropy	items.armor.curses.antientropy.name	%25s%20of%20anti-entropy
%arg% of displacement	items.armor.curses.displacement.name	%25s%20of%20displacement
%arg% of entanglement	items.armor.glyphs.entanglement.name	%25s%20of%20entanglement
%arg% of metabolism	items.armor.curses.metabolism.name	%25s%20of%20metabolism
%arg% of multiplicity	items.armor.curses.multiplicity.name	%25s%20of%20multiplicity
%arg% of potential	items.armor.glyphs.potential.name	%25s%20of%20potential
%arg% of stench	items.armor.curses.stench.name	%25s%20of%20stench
%arg% of viscosity	items.armor.glyphs.viscosity.name	%25s%20of%20viscosity
some warriors have survived so many traps they know them inside out.\n- %arg%%arg% chance to disarm traps on contact\n- does not work on hidden traps	custom.generated.some_warriors_have_survived_so_6fb9877676	Some%20warriors%20have%20survived%20so%20many%20traps%20they%20know%20them%20inside%20out.%5Cn-%20%25d%25%25%20chance%20to%20disarm%20traps%20on%20contact%5Cn-%20Does%20NOT%20work%20on%20hidden%20traps
sometimes a warrior should just let go. entering a frenzy state increases damage by %arg%%arg% but lowers speed by %arg%%arg%	custom.generated.sometimes_a_warrior_should_just_64bf815755	Sometimes%20a%20warrior%20should%20just%20let%20go.%20Entering%20a%20frenzy%20state%20increases%20damage%20by%20%25d%25%25%20but%20lowers%20speed%20by%20%25d%25%25
special:	custom.generated.special_e47a8bfdb9
spirit is as important as body. champions who train their spirit can conjure their inner strength with increased stamina.\n- +%arg%%arg% mana	custom.generated.spirit_is_as_important_as_30530948a2	Spirit%20is%20as%20important%20as%20body.%20Champions%20who%20train%20their%20spirit%20can%20conjure%20their%20inner%20strength%20with%20increased%20stamina.%5Cn-%20%2B%25d%25%25%20mana
spirituality	custom.generated.spirituality_286a8bd75f
split off a shadowy duplicate that fights beside you.\n- summons one stronger mirror image\n- %arg% mana\n- %arg% second cooldown	custom.generated.split_off_a_shadowy_duplicate_ffedf47f25	Split%20off%20a%20shadowy%20duplicate%20that%20fights%20beside%20you.%5Cn-%20Summons%20one%20stronger%20mirror%20image%5Cn-%20%25d%20mana%5Cn-%20%25d%20second%20cooldown
standard bow ammunition. keep arrows in your pack; equipped bows consume one arrow per shot.	custom.generated.standard_bow_ammunition_keep_arrows_38c426bc68
start over	custom.generated.start_over_91a5868691
starving heroes do not regenerate health or mana. they also take %arg% damage every %arg% seconds until they eat.	custom.generated.starving_heroes_do_not_regenerate_1c07a5a6b7	Starving%20heroes%20do%20not%20regenerate%20health%20or%20mana.%20They%20also%20take%20%25d%20damage%20every%20%25d%20seconds%20until%20they%20eat.
starving!	custom.generated.starving_5fcd4798f5
stay unseen	custom.generated.stay_unseen_72dc646abc
steady aim with the bow makes every shot more reliable.\n+%arg%%arg% accuracy when using the bow	custom.generated.steady_aim_with_the_bow_1a7e84525c	Steady%20aim%20with%20the%20bow%20makes%20every%20shot%20more%20reliable.%5Cn%2B%25d%25%25%20accuracy%20when%20using%20the%20bow
stench glyph	custom.generated.stench_glyph_81dd8876d9
stole %arg%	custom.generated.stole_arg_7064f74f85	Stole%20%25s
stone glyph	custom.generated.stone_glyph_909896232f
strong	custom.generated.strong_0117691d02
stronger poison	custom.generated.stronger_poison_a57626807b
stunning enchantment	custom.generated.stunning_enchantment_bbb990b05c
suffer!	custom.generated.suffer_44c8609f2a
summoning expert	custom.generated.summoning_expert_dbdd0591e7
summoning mastery	custom.generated.summoning_mastery_6af9c10728
summons a fire elemental to aid the hero on his quest.	custom.generated.summons_a_fire_elemental_to_06b94efbd1
sungrass is renowned for its sap's healing properties.	custom.generated.sungrass_is_renowned_for_its_533a09d77f
teleported	custom.generated.teleported_b498ba7f70
tempered enchantment	custom.generated.tempered_enchantment_c03baecdc0
terror	custom.generated.terror_10f9bb8fa0
thank you! the curse is broken and i can finally rest... please take one of these items, maybe they will be useful to you in your journey...	custom.generated.thank_you_the_curse_is_6a3af3f76b
that class	custom.generated.that_class_f31ca14050
that item has no matching partner to reforge.	custom.generated.that_item_has_no_matching_256c84136e
the ability to heal at an accelerated rate is crucial when constantly facing enemies.\n+%arg%%arg% regeneration	custom.generated.the_ability_to_heal_at_c4e3cafb3c	The%20ability%20to%20heal%20at%20an%20accelerated%20rate%20is%20crucial%20when%20constantly%20facing%20enemies.%5Cn%2B%25d%25%25%20regeneration
the ability to recover spiritual energy at an accelerated rate is critical for heroes that rely on magic.\n- +%arg%%arg% mana regeneration	custom.generated.the_ability_to_recover_spiritual_933f9f8444	The%20ability%20to%20recover%20spiritual%20energy%20at%20an%20accelerated%20rate%20is%20critical%20for%20heroes%20that%20rely%20on%20magic.%5Cn-%20%2B%25d%25%25%20mana%20regeneration
the armory lies behind a locked door.\nmust find a key...	custom.generated.the_armory_lies_behind_a_15e2ba8a2e
the blacksmith wanted bat blood, not ore.	custom.generated.the_blacksmith_wanted_bat_blood_34c88bac42
the crypt is sealed behind a locked door.\nmust find a key...	custom.generated.the_crypt_is_sealed_behind_150d39f37d
the curse still clings to this place... please... destroy it...	custom.generated.the_curse_still_clings_to_1f13ed31ae
the cursed armor will not come off.	custom.generated.the_cursed_armor_will_not_a43473f5f6
the door is locked.	custom.generated.the_door_is_locked_c853bb2b92
the enormous steel head of this battle axe puts considerable heft behind each stroke.	custom.generated.the_enormous_steel_head_of_d87dcd4c0b
the heaven protects me	custom.generated.the_heaven_protects_me_43776224c2
the laboratory lies behind a locked door.\nmust find a key...	custom.generated.the_laboratory_lies_behind_a_df70d32b88
the legendary prize of the dungeon. claiming it marks a winning run.	custom.generated.the_legendary_prize_of_the_233272189a
the library is hidden behind a locked door.\nmust find a key... great wisdom lies within	custom.generated.the_library_is_hidden_behind_94af919708
the mercenary den lies behind a locked door.\nmust find a key...	custom.generated.the_mercenary_den_lies_behind_3935aa4ed3
the merchant lies behind a locked door.\nmust find a key...	custom.generated.the_merchant_lies_behind_a_a33c2ee26b
the pickaxe has no obvious use right now.	custom.generated.the_pickaxe_has_no_obvious_eee33e6e55
the rose has dried long ago, but it has kept all its petals somehow.	custom.generated.the_rose_has_dried_long_fb6f4c3770
the storage room lies behind a sealed door.	custom.generated.the_storage_room_lies_behind_43274899bd
the treasure is hidden behind a locked door.\nmust find a key...	custom.generated.the_treasure_is_hidden_behind_234588b7fc
the treasury lies behind a locked door.\nmust find a key...	custom.generated.the_treasury_lies_behind_a_33e6473212
the vault lies behind a locked door.\nmust find a key...	custom.generated.the_vault_lies_behind_a_821492734c
the words on this sign cannot be understood.	custom.generated.the_words_on_this_sign_b2fd5369ea
the words on this sign cannot be understood.%arg%	custom.generated.the_words_on_this_sign_ac2a9963af	The%20words%20on%20this%20sign%20cannot%20be%20understood.%25s
there is no dark gold worth mining here.	custom.generated.there_is_no_dark_gold_030d998ef1
these dungeons are more dangerous at night	custom.generated.these_dungeons_are_more_dangerous_9c9411b309
thief	custom.generated.thief_c9fdea28cd
thieves rely on stealth, poison, and sudden bursts of violence in combat.	custom.generated.thieves_rely_on_stealth_poison_920f92f922
this %arg% is a tier %arg% %arg% ranged weapon.	custom.generated.this_arg_is_a_tier_6df9ba572f	This%20%25s%20is%20a%20tier%20%25d%20%25s%20ranged%20weapon.
this %arg% is a tier %arg% %arg% ranged weapon.%arg%	custom.generated.this_arg_is_a_tier_d89650dfd3	This%20%25s%20is%20a%20tier%20%25d%20%25s%20ranged%20weapon.%25s
this %arg% is a tier %arg% %arg% wand.	custom.generated.this_arg_is_a_tier_16e793fbf4	This%20%25s%20is%20a%20tier%20%25d%20%25s%20wand.
this %arg% is a tier %arg% %arg% wand.%arg%	custom.generated.this_arg_is_a_tier_de00543228	This%20%25s%20is%20a%20tier%20%25d%20%25s%20wand.%25s
this %arg% is a tier %arg% %arg% weapon.	custom.generated.this_arg_is_a_tier_772b0452c5	This%20%25s%20is%20a%20tier%20%25d%20%25s%20weapon.
this %arg% is a tier %arg% %arg% weapon.%arg%	custom.generated.this_arg_is_a_tier_40e939c01d	This%20%25s%20is%20a%20tier%20%25d%20%25s%20weapon.%25s
this %arg% is a tier %arg% armor.	custom.generated.this_arg_is_a_tier_27265f8db0	This%20%25s%20is%20a%20tier%20%25d%20armor.
this %arg% is a tier %arg% armor.%arg%	custom.generated.this_arg_is_a_tier_efc77eee28	This%20%25s%20is%20a%20tier%20%25d%20armor.%25s
this %arg% is a tier %arg% ranged weapon.	custom.generated.this_arg_is_a_tier_c6a0646247	This%20%25s%20is%20a%20tier%20%25d%20ranged%20weapon.
this %arg% is a tier %arg% ranged weapon.%arg%	custom.generated.this_arg_is_a_tier_8005cba207	This%20%25s%20is%20a%20tier%20%25d%20ranged%20weapon.%25s
this %arg% is a tier %arg% wand.	custom.generated.this_arg_is_a_tier_4d2cfcd9be	This%20%25s%20is%20a%20tier%20%25d%20wand.
this %arg% is a tier %arg% wand.%arg%	custom.generated.this_arg_is_a_tier_1f1d360075	This%20%25s%20is%20a%20tier%20%25d%20wand.%25s
this %arg% is a tier %arg% weapon.	custom.generated.this_arg_is_a_tier_425753da1a	This%20%25s%20is%20a%20tier%20%25d%20weapon.
this %arg% is a tier %arg% weapon.%arg%	custom.generated.this_arg_is_a_tier_61383b575e	This%20%25s%20is%20a%20tier%20%25d%20weapon.%25s
this is a stack of %arg% arrows.	custom.generated.this_is_a_stack_of_878540b56a	This%20is%20a%20stack%20of%20%25d%20arrows.
this ranged weapon has %arg% ammo left.	custom.generated.this_ranged_weapon_has_arg_dacdc2a700	This%20ranged%20weapon%20has%20%25d%20ammo%20left.
this ranged weapon has %arg% ammo left.%arg%	custom.generated.this_ranged_weapon_has_arg_032580948e	This%20ranged%20weapon%20has%20%25d%20ammo%20left.%25s
this ranged weapon has %arg% ammo left.\n\nthis bow consumes arrows from your pack. it currently has access to %arg% arrows.	custom.generated.this_ranged_weapon_has_arg_407ed29282	This%20ranged%20weapon%20has%20%25s%20ammo%20left.%5Cn%5CnThis%20bow%20consumes%20arrows%20from%20your%20pack.%20It%20currently%20has%20access%20to%20%25s%20arrows.
this ring amplifies wand energy, making magical attacks and effects stronger while worn.	custom.generated.this_ring_amplifies_wand_energy_200ab405b9
this ring helps you draw more recovery from simple rations, restoring a little health and mana when you eat.	custom.generated.this_ring_helps_you_draw_d1c9791821
this ring helps you slip through the dark, causing distant enemies to lose track of you more easily.	custom.generated.this_ring_helps_you_slip_1d28e20488
this ring lashes back at attackers, reflecting a portion of the damage they inflict.	custom.generated.this_ring_lashes_back_at_56f755b8dd
this ring marks you as a trusted trader, lowering buy prices and improving sell offers.	custom.generated.this_ring_marks_you_as_cf1c9640cf
this ring sharpens your senses, revealing hidden traps around you while worn.	custom.generated.this_ring_sharpens_your_senses_bdf9b59ef1
this ring slows the gnaw of hunger, letting you go longer between meals.	custom.generated.this_ring_slows_the_gnaw_cabf1f8863
this ring strengthens the body's natural repair, increasing regeneration by %arg%%arg% while worn.	custom.generated.this_ring_strengthens_the_body_s_d5b9e4754f	This%20ring%20strengthens%20the%20body%27s%20natural%20repair%2C%20increasing%20regeneration%20by%20%25d%25%25%20while%20worn.
this skill is locked out.	custom.generated.this_skill_is_locked_out_a9840fc311
this subclass is unlocked by the tome of mastery dropped by tengu.	custom.generated.this_subclass_is_unlocked_by_cbbb56b924
this worn leather tome feels far more potent than its size suggests. reading it lets you choose a subclass path, but only if you can focus long enough to understand it.	custom.generated.this_worn_leather_tome_feels_b71b69c7c5
thorns glyph	custom.generated.thorns_glyph_df9e33e028
throw darts	custom.generated.throw_darts_be4ff108d4
throw this seed to the place where you want to grow %arg%. %arg%\n\nalchemy result: %arg%\n\nthis stack contains %arg% seeds.	custom.generated.throw_this_seed_to_the_73de04342b	Throw%20this%20seed%20to%20the%20place%20where%20you%20want%20to%20grow%20%25s.%20%25s%5Cn%5CnAlchemy%20result%3A%20%25s%5Cn%5CnThis%20stack%20contains%20%25s%20seeds.
title screen theme & fx	custom.generated.title_screen_theme_fx_412717b278
tome of mastery	custom.generated.tome_of_mastery_1bc9fbf89c
too quiet	custom.generated.too_quiet_c144f29f61
toughness	custom.generated.toughness_ef532ea6ec
toxic cloud	custom.generated.toxic_cloud_1ce14f7761
training	custom.generated.training_0a2b9827e5
trap handling	custom.generated.trap_handling_ed6c4fb5cc
travel clothes	custom.generated.travel_clothes_261fd88e62
triggering traps becomes harmless to a practiced rogue.\n- %arg%%arg% chance to disarm traps on contact\n- works on hidden traps too	custom.generated.triggering_traps_becomes_harmless_to_1b33f336ba	Triggering%20traps%20becomes%20harmless%20to%20a%20practiced%20rogue.%5Cn-%20%25d%25%25%20chance%20to%20disarm%20traps%20on%20contact%5Cn-%20Works%20on%20hidden%20traps%20too
unknown	custom.generated.unknown_50d8b4a941
unknown hero	custom.generated.unknown_hero_e2484c4d75
unstable enchantment	custom.generated.unstable_enchantment_4ad6fbb228
upgraded	custom.generated.upgraded_01dcd2f750
upon touching a dreamweed it secretes a glittering cloud of confusing gas.	custom.generated.upon_touching_a_dreamweed_it_925e6a43c5
upon touching an icecap excretes a pollen, which freezes everything in its vicinity.	custom.generated.upon_touching_an_icecap_excretes_01baf58c62
useless	custom.generated.useless_9384dbba8f
vampiric enchantment	custom.generated.vampiric_enchantment_6b754626ff
venom	custom.generated.venom_280ecd1468
venomous enchantment	custom.generated.venomous_enchantment_a7aef49a5c
viscosity glyph	custom.generated.viscosity_glyph_0f6fe74aba
vulnerability	custom.generated.vulnerability_13c6cb1c4d
wand mastery	custom.generated.wand_mastery_0fcc28e408
wand of amok	custom.generated.wand_of_amok_5dbfc5f6bb
wand of avalanche	custom.generated.wand_of_avalanche_910689bf83
wand of blink	custom.generated.wand_of_blink_63bd89aee0
wand of flock	custom.generated.wand_of_flock_1ef6d62e4d
wand of poison	custom.generated.wand_of_poison_d2215ad9d0
wand of reach	custom.generated.wand_of_reach_a280677aa7
wand of slowness	custom.generated.wand_of_slowness_ff1061ceb6
wand of teleportation	custom.generated.wand_of_teleportation_affddfd337
warlock skills rely on curses and turning enemies against each other. unlock warlock through the tome of mastery dropped by tengu.\n%arg%	custom.generated.warlock_skills_rely_on_curses_284bc21057	Warlock%20skills%20rely%20on%20curses%20and%20turning%20enemies%20against%20each%20other.%20Unlock%20Warlock%20through%20the%20Tome%20of%20Mastery%20dropped%20by%20Tengu.%5Cn%25s
warlocks rely on dark arts manipulating enemies into attacking each other.\n- +%arg% max mana\n- +%arg%%arg% mana regeneration\n- killing an enemy heals wounds and satisfies hunger\n- locks out battle mage	custom.generated.warlocks_rely_on_dark_arts_f131d7cd7c	Warlocks%20rely%20on%20dark%20arts%20manipulating%20enemies%20into%20attacking%20each%20other.%5Cn-%20%2B%25d%20max%20mana%5Cn-%20%2B%25d%25%25%20mana%20regeneration%5Cn-%20Killing%20an%20enemy%20heals%20wounds%20and%20satisfies%20hunger%5Cn-%20Locks%20out%20Battle%20Mage
warriors choose between gladiator and berserker after reading the tome of mastery dropped by tengu.\n%arg%	custom.generated.warriors_choose_between_gladiator_and_260a556279	Warriors%20choose%20between%20Gladiator%20and%20Berserker%20after%20reading%20the%20Tome%20of%20Mastery%20dropped%20by%20Tengu.%5Cn%25s
warriors start with a short sword	custom.generated.warriors_start_with_a_short_a61b1dc584
warriors start with five healing potions	custom.generated.warriors_start_with_five_healing_99faeb259d
warriors start with leather armor	custom.generated.warriors_start_with_leather_armor_4b304f275d
warriors start with two rations	custom.generated.warriors_start_with_two_rations_0a4c5a608c
warriors who embrace the gladiator's discipline become tougher and faster in battle.\n- +%arg% health\n- +%arg%%arg% attack speed\n- successful melee hits build a combo\n- from the %arg%rd chained hit onward, each hit deals bonus damage	custom.generated.warriors_who_embrace_the_gladiator_s_fd96885cb6	Warriors%20who%20embrace%20the%20gladiator%27s%20discipline%20become%20tougher%20and%20faster%20in%20battle.%5Cn-%20%2B%25d%20health%5Cn-%20%2B%25d%25%25%20attack%20speed%5Cn-%20Successful%20melee%20hits%20build%20a%20combo%5Cn-%20From%20the%20%25drd%20chained%20hit%20onward%2C%20each%20hit%20deals%20bonus%20damage
way of the %arg%!	custom.generated.way_of_the_arg_21648b5ae9	Way%20of%20the%20%25s%21
way of the %arg%!%arg%	custom.generated.way_of_the_arg_arg_e609d169a5	Way%20of%20the%20%25s%21%25s
weaken	custom.generated.weaken_fcb9e7c68c
weakens enemies reducing their damage by %arg%%arg%.\n- target does %arg%%arg% less damage	custom.generated.weakens_enemies_reducing_their_damage_27d2621210	Weakens%20enemies%20reducing%20their%20damage%20by%20%25d%25%25.%5Cn-%20Target%20does%20%25d%25%25%20less%20damage
weapon	custom.generated.weapon_395d3b4c7b
welcome to my shop. show me what you want to sell.. maybe it's worth my time..	custom.generated.welcome_to_my_shop_show_e9f83add01
when a creature touches an earthroot, its roots create a kind of natural armor around it.	custom.generated.when_a_creature_touches_an_252b039b23
when severely wounded, the berserker enters a state of wild fury significantly increasing his damage output.\n- +%arg% health\n- +%arg%%arg% damage\n- below %arg%%arg% health, gain up to +%arg%%arg% extra damage	custom.generated.when_severely_wounded_the_berserker_31e6e5553c	When%20severely%20wounded%2C%20the%20berserker%20enters%20a%20state%20of%20wild%20fury%20significantly%20increasing%20his%20damage%20output.%5Cn-%20%2B%25d%20health%5Cn-%20%2B%25d%25%25%20damage%5Cn-%20Below%20%25d%25%25%20health%2C%20gain%20up%20to%20%2B%25d%25%25%20extra%20damage
wipe out	custom.generated.wipe_out_95a534faf5
wizards choose between battle mage and warlock after reading the tome of mastery dropped by tengu.\n%arg%	custom.generated.wizards_choose_between_battle_mage_a0bd4d0470	Wizards%20choose%20between%20Battle%20Mage%20and%20Warlock%20after%20reading%20the%20Tome%20of%20Mastery%20dropped%20by%20Tengu.%5Cn%25s
wizards choose the path of magic. they are physically weak, so they rely on ranged spells.	custom.generated.wizards_choose_the_path_of_25865ed1dc
wizards start with a firebolt wand	custom.generated.wizards_start_with_a_firebolt_030a8909eb
wizards start with five healing potions	custom.generated.wizards_start_with_five_healing_6ed63d3777
wizards start with five mana potions	custom.generated.wizards_start_with_five_mana_d210007aaa
wizards start with two rations	custom.generated.wizards_start_with_two_rations_5fab0c77bf
words of hard-earned wisdom that grant the reader an extra skill point.	custom.generated.words_of_hard_earned_wisdom_that_2af93ee0f2
yes! the ugly creature is slain and i can finally rest... please take one of these items, maybe they will be useful to you in your journey...	custom.generated.yes_the_ugly_creature_is_534a89f384
yes! yes!!! this is it! please give it to me! and you can take one of these items, maybe they will be useful to you in your journey...	custom.generated.yes_yes_this_is_it_ac842d0968
you are short by %arg%, reducing its damage and attack speed.	custom.generated.you_are_short_by_arg_fc4b4841b4	You%20are%20short%20by%20%25d%2C%20reducing%20its%20damage%20and%20attack%20speed.
you are short by %arg%, reducing its damage and attack speed.%arg%	custom.generated.you_are_short_by_arg_b44cf06a5a	You%20are%20short%20by%20%25d%2C%20reducing%20its%20damage%20and%20attack%20speed.%25s
you are short by %arg%, reducing movement speed and armor effectiveness.	custom.generated.you_are_short_by_arg_99dad8328c	You%20are%20short%20by%20%25d%2C%20reducing%20movement%20speed%20and%20armor%20effectiveness.
you are short by %arg%, reducing movement speed and armor effectiveness.%arg%	custom.generated.you_are_short_by_arg_b308f2fc73	You%20are%20short%20by%20%25d%2C%20reducing%20movement%20speed%20and%20armor%20effectiveness.%25s
you can barely see this tiny translucent fish in the air. in the water it becomes effectively invisible.	custom.generated.you_can_barely_see_this_4ec6a2858c
you can equip up to %arg% rings at the same time.	custom.generated.you_can_equip_up_to_9648533797	You%20can%20equip%20up%20to%20%25d%20rings%20at%20the%20same%20time.
you can hold up to %arg% items in your backpack.	custom.generated.you_can_hold_up_to_c45816dbc8	You%20can%20hold%20up%20to%20%25d%20items%20in%20your%20backpack.
you can only equip two rings at a time.	custom.generated.you_can_only_equip_two_46f7db3fa3
you can't read while blinded	custom.generated.you_can_t_read_while_blinded_d7ea30a7af
you have %arg% skill points left.	custom.generated.you_have_arg_skill_points_b2c3e75456	You%20have%20%25s%20skill%20points%20left.
you have already chosen a subclass.	custom.generated.you_have_already_chosen_a_21d142e235
you have chosen the way of the %arg%!	custom.generated.you_have_chosen_the_way_15f85b45be	You%20have%20chosen%20the%20way%20of%20the%20%25s%21
you have chosen the way of the %arg%!%arg%	custom.generated.you_have_chosen_the_way_d42a514e2b	You%20have%20chosen%20the%20way%20of%20the%20%25s%21%25s
you have unlocked this skill!	custom.generated.you_have_unlocked_this_skill_4167a364b7
you need %arg% mana to use the wand.	custom.generated.you_need_arg_mana_to_a7e03f9162	You%20need%20%25d%20mana%20to%20use%20the%20wand.
you need %arg% mana to use the wand.%arg%	custom.generated.you_need_arg_mana_to_5fbf4d46a8	You%20need%20%25d%20mana%20to%20use%20the%20wand.%25s
you need %arg% strength to use the %arg%.	custom.generated.you_need_arg_strength_to_d29e64b632	You%20need%20%25d%20Strength%20to%20use%20the%20%25s.
you need %arg% strength to use the %arg%.%arg%	custom.generated.you_need_arg_strength_to_55a40d275b	You%20need%20%25d%20Strength%20to%20use%20the%20%25s.%25s
you need two identified matching items to reforge.	custom.generated.you_need_two_identified_matching_4333732ed3
your %arg% certainly looks better now.%arg%	custom.generated.your_arg_certainly_looks_better_7dea3ddc8d	Your%20%25s%20certainly%20looks%20better%20now.%25s
your excess strength adds %arg% bonus damage.	custom.generated.your_excess_strength_adds_arg_8a10d1642c	Your%20excess%20strength%20adds%20%25d%20bonus%20damage.
your excess strength adds %arg% bonus damage.%arg%	custom.generated.your_excess_strength_adds_arg_4c8330e30d	Your%20excess%20strength%20adds%20%25d%20bonus%20damage.%25s
